ID,Name,Age,Marks
869,Student_869,18,92
870,Student_870,20,55
871,Student_871,19,67
872,Student_872,21,60
873,Student_873,22,84
874,Student_874,18,60
875,Student_875,25,85
876,Student_876,18,56
877,Student_877,23,68
878,Student_878,24,72
879,Student_879,22,89
880,Student_880,20,77
881,Student_881,24,60
882,Student_882,22,85
883,Student_883,24,95
884,Student_884,25,97
885,Student_885,19,58
886,Student_886,21,69
887,Student_887,20,69
888,Student_888,18,84
889,Student_889,21,88
890,Student_890,25,80
891,Student_891,23,71
892,Student_892,24,79
893,Student_893,20,85
894,Student_894,24,76
895,Student_895,21,51
896,Student_896,18,95
897,Student_897,24,73
898,Student_898,25,99
899,Student_899,21,53
900,Student_900,22,52
901,Student_901,24,60
902,Student_902,21,82
903,Student_903,20,95
904,Student_904,20,90
905,Student_905,22,84
906,Student_906,19,87
907,Student_907,25,61
908,Student_908,20,57
909,Student_909,23,80
910,Student_910,23,100
911,Student_911,23,88
912,Student_912,18,88
913,Student_913,24,77
914,Student_914,25,69
915,Student_915,20,92
916,Student_916,20,72
917,Student_917,18,81
918,Student_918,19,86
919,Student_919,18,92
920,Student_920,21,72
921,Student_921,25,80
922,Student_922,20,54
923,Student_923,23,62
924,Student_924,25,65
925,Student_925,22,64
926,Student_926,21,68
927,Student_927,24,68
928,Student_928,24,53
929,Student_929,22,92
930,Student_930,18,65
931,Student_931,21,68
932,Student_932,22,80
933,Student_933,24,84
934,Student_934,19,56
935,Student_935,23,61
936,Student_936,22,66
937,Student_937,21,97
938,Student_938,20,87
939,Student_939,19,67
940,Student_940,21,86
941,Student_941,18,78
942,Student_942,21,85
943,Student_943,25,61
944,Student_944,24,79
945,Student_945,21,55
946,Student_946,18,61
947,Student_947,21,84
948,Student_948,24,76
949,Student_949,19,90
950,Student_950,19,52
951,Student_951,24,82
952,Student_952,24,74
953,Student_953,25,77
954,Student_954,21,100
955,Student_955,24,56
956,Student_956,20,68
957,Student_957,21,60
958,Student_958,24,92
959,Student_959,22,74
960,Student_960,20,78
961,Student_961,24,75
962,Student_962,18,97
963,Student_963,21,64
964,Student_964,25,91
965,Student_965,25,74
966,Student_966,19,90
967,Student_967,22,97
968,Student_968,20,100
969,Student_969,19,60
970,Student_970,21,95
971,Student_971,22,83
972,Student_972,18,85
973,Student_973,22,54
974,Student_974,24,91
975,Student_975,21,100
976,Student_976,22,80
977,Student_977,25,55
978,Student_978,20,71
979,Student_979,18,90
980,Student_980,25,63
981,Student_981,22,79
982,Student_982,18,84
983,Student_983,20,72
984,Student_984,23,79
985,Student_985,19,83
986,Student_986,22,80
987,Student_987,19,63
988,Student_988,21,92
989,Student_989,18,50
990,Student_990,22,67
991,Student_991,18,55
992,Student_992,22,73
993,Student_993,24,68
994,Student_994,24,80
995,Student_995,20,67
996,Student_996,23,64
997,Student_997,22,89
998,Student_998,18,60
999,Student_999,20,70
1000,Student_1000,24,62
1001,Student_1001,24,90
1002,Student_1002,22,90
1003,Student_1003,20,94
1004,Student_1004,19,64
1005,Student_1005,18,74
1006,Student_1006,23,50
1007,Student_1007,25,55
1008,Student_1008,21,94
1009,Student_1009,21,55
1010,Student_1010,19,65
1011,Student_1011,22,54
1012,Student_1012,20,99
1013,Student_1013,24,52
1014,Student_1014,19,87
1015,Student_1015,24,64
1016,Student_1016,21,65
1017,Student_1017,20,61
1018,Student_1018,18,86
1019,Student_1019,21,79
1020,Student_1020,23,73
1021,Student_1021,24,75
1022,Student_1022,24,72
1023,Student_1023,19,72
1024,Student_1024,23,91
1025,Student_1025,25,53
1026,Student_1026,24,93
1027,Student_1027,18,59
1028,Student_1028,22,100
1029,Student_1029,22,73
1030,Student_1030,22,53
1031,Student_1031,24,55
1032,Student_1032,25,55
1033,Student_1033,25,59
1034,Student_1034,22,91
1035,Student_1035,18,95
1036,Student_1036,22,90
1037,Student_1037,18,90
1038,Student_1038,19,79
1039,Student_1039,23,60
1040,Student_1040,18,61
1041,Student_1041,19,69
1042,Student_1042,19,76
1043,Student_1043,20,96
1044,Student_1044,24,56
1045,Student_1045,23,77
1046,Student_1046,25,58
1047,Student_1047,21,87
1048,Student_1048,22,53
1049,Student_1049,25,77
1050,Student_1050,20,98
1051,Student_1051,22,96
1052,Student_1052,20,80
1053,Student_1053,19,72
1054,Student_1054,25,68
1055,Student_1055,20,73
1056,Student_1056,25,50
1057,Student_1057,18,74
1058,Student_1058,24,72
1059,Student_1059,21,96
1060,Student_1060,22,84
1061,Student_1061,25,57
1062,Student_1062,22,60
1063,Student_1063,24,87
1064,Student_1064,23,90
1065,Student_1065,18,99
1066,Student_1066,19,80
1067,Student_1067,18,87
1068,Student_1068,20,55
1069,Student_1069,24,58
1070,Student_1070,22,75
1071,Student_1071,21,68
1072,Student_1072,24,79
1073,Student_1073,20,59
1074,Student_1074,20,60
1075,Student_1075,19,80
1076,Student_1076,21,65
1077,Student_1077,24,50
1078,Student_1078,22,100
1079,Student_1079,23,79
1080,Student_1080,21,81
1081,Student_1081,18,85
1082,Student_1082,24,92
1083,Student_1083,24,98
1084,Student_1084,18,95
1085,Student_1085,22,61
1086,Student_1086,18,67
1087,Student_1087,23,68
1088,Student_1088,20,95
1089,Student_1089,25,85
1090,Student_1090,25,98
1091,Student_1091,25,54
1092,Student_1092,23,92
1093,Student_1093,20,74
1094,Student_1094,21,71
1095,Student_1095,20,80
1096,Student_1096,21,50
1097,Student_1097,20,93
1098,Student_1098,24,51
1099,Student_1099,21,65
1100,Student_1100,22,88
1101,Student_1101,18,89
1102,Student_1102,18,54
1103,Student_1103,24,82
1104,Student_1104,20,53
1105,Student_1105,25,94
1106,Student_1106,24,59
1107,Student_1107,19,79
1108,Student_1108,19,58
1109,Student_1109,22,81
1110,Student_1110,23,86
1111,Student_1111,23,77
1112,Student_1112,21,84
1113,Student_1113,22,67
1114,Student_1114,19,73
1115,Student_1115,18,68
1116,Student_1116,24,64
1117,Student_1117,25,66
1118,Student_1118,20,95
1119,Student_1119,24,62
1120,Student_1120,23,76
1121,Student_1121,24,73
1122,Student_1122,19,76
1123,Student_1123,23,66
1124,Student_1124,18,100
1125,Student_1125,22,51
1126,Student_1126,23,53
1127,Student_1127,19,77
1128,Student_1128,18,85
1129,Student_1129,24,87
1130,Student_1130,19,73
1131,Student_1131,20,65
1132,Student_1132,21,66
1133,Student_1133,19,72
1134,Student_1134,23,81
1135,Student_1135,22,97
1136,Student_1136,23,95
1137,Student_1137,18,57
1138,Student_1138,23,88
1139,Student_1139,21,88
1140,Student_1140,22,67
1141,Student_1141,22,77
1142,Student_1142,23,58
1143,Student_1143,25,65
1144,Student_1144,23,70
1145,Student_1145,19,65
1146,Student_1146,19,87
1147,Student_1147,23,52
1148,Student_1148,19,70
1149,Student_1149,20,83
1150,Student_1150,20,50
1151,Student_1151,21,74
1152,Student_1152,20,73
1153,Student_1153,21,84
1154,Student_1154,20,90
1155,Student_1155,21,84
1156,Student_1156,18,72
1157,Student_1157,19,87
1158,Student_1158,25,57
1159,Student_1159,23,62
1160,Student_1160,24,52
1161,Student_1161,20,84
1162,Student_1162,22,91
1163,Student_1163,24,67
1164,Student_1164,21,60
1165,Student_1165,19,84
1166,Student_1166,18,62
1167,Student_1167,18,53
1168,Student_1168,20,90
1169,Student_1169,19,94
1170,Student_1170,24,56
1171,Student_1171,24,63
1172,Student_1172,21,50
1173,Student_1173,20,80
1174,Student_1174,22,54
1175,Student_1175,24,60
1176,Student_1176,20,68
1177,Student_1177,23,94
1178,Student_1178,22,93
1179,Student_1179,22,93
1180,Student_1180,21,64
1181,Student_1181,23,54
1182,Student_1182,21,90
1183,Student_1183,23,99
1184,Student_1184,23,56
1185,Student_1185,22,59
1186,Student_1186,25,75
1187,Student_1187,22,94
1188,Student_1188,19,80
1189,Student_1189,20,100
1190,Student_1190,21,50
1191,Student_1191,24,79
1192,Student_1192,24,55
1193,Student_1193,18,54
1194,Student_1194,19,79
1195,Student_1195,20,69
1196,Student_1196,19,91
1197,Student_1197,22,59
1198,Student_1198,24,62
1199,Student_1199,22,84
1200,Student_1200,21,93
1201,Student_1201,23,81
1202,Student_1202,24,50
1203,Student_1203,20,64
1204,Student_1204,25,53
1205,Student_1205,20,83
1206,Student_1206,18,67
1207,Student_1207,25,52
1208,Student_1208,24,62
1209,Student_1209,19,75
1210,Student_1210,23,57
1211,Student_1211,22,54
1212,Student_1212,20,78
1213,Student_1213,24,64
1214,Student_1214,25,92
1215,Student_1215,24,87
1216,Student_1216,25,96
1217,Student_1217,19,53
1218,Student_1218,23,54
1219,Student_1219,19,98
1220,Student_1220,20,69
1221,Student_1221,23,89
1222,Student_1222,23,60
1223,Student_1223,25,92
1224,Student_1224,22,62
1225,Student_1225,18,59
1226,Student_1226,25,88
1227,Student_1227,22,94
1228,Student_1228,22,66
